Ts,x,y,label,life
466,2.39008,0.00746,1.0,49
467,2.39008,0.00746,1.0,49
468,2.39008,0.00746,1.0,49
469,2.39008,0.00746,1.0,49
478,2.39008,0.00746,0.1,0
490,2.39008,0.00746,0.1,0
492,2.39008,0.00746,0.1,0
3,2.39232,-0.00808,0.1,0
9,2.39232,-0.00808,0.1,0
12,2.39232,-0.00808,1.0,56
13,2.39232,-0.00808,1.0,56
20,2.39232,-0.00808,0.1,0
31,2.39232,-0.00808,1.0,56
32,2.39232,-0.00808,1.0,56
33,2.39232,-0.00808,1.0,56
34,2.39232,-0.00808,1.0,56
35,2.39232,-0.00808,1.0,56
39,2.39232,-0.00808,0.1,0
50,2.39232,-0.00808,1.0,56
51,2.39232,-0.00808,1.0,56
63,2.39232,-0.00808,1.0,56
64,2.39232,-0.00808,1.0,56
65,2.39232,-0.00808,1.0,56
76,2.39232,-0.00808,1.0,56
77,2.39232,-0.00808,1.0,56
78,2.39232,-0.00808,1.0,56
79,2.39232,-0.00808,1.0,56
80,2.39232,-0.00808,1.0,56
81,2.39232,-0.00808,1.0,56
82,2.39232,-0.00808,1.0,56
83,2.39232,-0.00808,1.0,56
92,2.39232,-0.00808,0.1,0
97,2.39232,-0.00808,0.1,0
103,2.39232,-0.00808,1.0,56
104,2.39232,-0.00808,1.0,56
108,2.39232,-0.00808,0.1,0
111,2.39232,-0.00808,1.0,56
112,2.39232,-0.00808,1.0,56
113,2.39232,-0.00808,1.0,56
122,2.39232,-0.00808,0.1,0
130,2.39232,-0.00808,1.0,56
131,2.39232,-0.00808,1.0,56
132,2.39232,-0.00808,1.0,56
139,2.39232,-0.00808,0.1,0
143,2.39232,-0.00808,1.0,56
144,2.39232,-0.00808,1.0,56
159,2.39232,-0.00808,0.1,0
166,2.39232,-0.00808,1.0,56
167,2.39232,-0.00808,1.0,56
183,2.39232,-0.00808,1.0,56
184,2.39232,-0.00808,1.0,56
185,2.39232,-0.00808,1.0,56
189,2.39232,-0.00808,1.0,56
190,2.39232,-0.00808,1.0,56
191,2.39232,-0.00808,1.0,56
193,2.39232,-0.00808,0.1,0
199,2.39232,-0.00808,1.0,56
200,2.39232,-0.00808,1.0,56
210,2.39232,-0.00808,0.1,0
217,2.39232,-0.00808,0.1,0
224,2.39232,-0.00808,0.1,0
229,2.39232,-0.00808,0.1,0
232,2.39232,-0.00808,0.1,0
240,2.39232,-0.00808,1.0,56
241,2.39232,-0.00808,1.0,56
248,2.39232,-0.00808,1.0,56
249,2.39232,-0.00808,1.0,56
254,2.39232,-0.00808,0.1,0
260,2.39232,-0.00808,0.1,0
262,2.39232,-0.00808,0.1,0
264,2.39232,-0.00808,1.0,56
265,2.39232,-0.00808,1.0,56
270,2.39232,-0.00808,0.1,0
275,2.39232,-0.00808,1.0,56
276,2.39232,-0.00808,1.0,56
282,2.39232,-0.00808,0.1,0
284,2.39232,-0.00808,0.1,0
287,2.39232,-0.00808,1.0,56
288,2.39232,-0.00808,1.0,56
289,2.39232,-0.00808,1.0,56
290,2.39232,-0.00808,1.0,56
291,2.39232,-0.00808,1.0,56
295,2.39232,-0.00808,1.0,56
296,2.39232,-0.00808,1.0,56
302,2.39232,-0.00808,1.0,56
303,2.39232,-0.00808,1.0,56
306,2.39232,-0.00808,1.0,56
307,2.39232,-0.00808,1.0,56
313,2.39232,-0.00808,1.0,56
314,2.39232,-0.00808,1.0,56
331,2.39232,-0.00808,1.0,56
332,2.39232,-0.00808,1.0,56
333,2.39232,-0.00808,1.0,56
334,2.39232,-0.00808,1.0,56
344,2.39232,-0.00808,0.1,0
354,2.39232,-0.00808,0.1,0
364,2.39232,-0.00808,0.1,0
366,2.39232,-0.00808,1.0,56
367,2.39232,-0.00808,1.0,56
388,2.39232,-0.00808,1.0,56
389,2.39232,-0.00808,1.0,56
403,2.39232,-0.00808,0.1,0
408,2.39232,-0.00808,1.0,56
409,2.39232,-0.00808,1.0,56
412,2.39232,-0.00808,0.1,0
419,2.39232,-0.00808,1.0,56
420,2.39232,-0.00808,1.0,56
424,2.39232,-0.00808,1.0,56
425,2.39232,-0.00808,1.0,56
426,2.39232,-0.00808,1.0,56
442,2.39232,-0.00808,0.1,0
447,2.39232,-0.00808,0.1,0
452,2.39232,-0.00808,1.0,56
453,2.39232,-0.00808,1.0,56
458,2.39232,-0.00808,1.0,56
459,2.39232,-0.00808,1.0,56
462,2.39232,-0.00808,1.0,56
463,2.39232,-0.00808,1.0,56
464,2.39232,-0.00808,1.0,56
470,2.39232,-0.00808,0.1,0
473,2.39232,-0.00808,0.1,0
476,2.39232,-0.00808,1.0,56
477,2.39232,-0.00808,1.0,56
478,2.39232,-0.00808,1.0,56
479,2.39232,-0.00808,1.0,56
484,2.39232,-0.00808,0.1,0
492,2.39232,-0.00808,0.1,0
499,2.39232,-0.00808,1.0,56
500,2.39232,-0.00808,1.0,56
10,2.45395,0.02007,0.1,0
12,2.45395,0.02007,0.1,0
17,2.45395,0.02007,1.0,54
18,2.45395,0.02007,1.0,54
19,2.45395,0.02007,1.0,54
30,2.45395,0.02007,0.1,0
35,2.45395,0.02007,1.0,54
36,2.45395,0.02007,1.0,54
37,2.45395,0.02007,1.0,54
62,2.45395,0.02007,0.1,0
64,2.45395,0.02007,1.0,54
65,2.45395,0.02007,1.0,54
68,2.45395,0.02007,1.0,54
69,2.45395,0.02007,1.0,54
70,2.45395,0.02007,1.0,54
71,2.45395,0.02007,1.0,54
81,2.45395,0.02007,0.1,0
85,2.45395,0.02007,1.0,54
86,2.45395,0.02007,1.0,54
88,2.45395,0.02007,1.0,54
89,2.45395,0.02007,1.0,54
90,2.45395,0.02007,1.0,54
91,2.45395,0.02007,1.0,54
107,2.45395,0.02007,0.1,0
111,2.45395,0.02007,0.1,0
113,2.45395,0.02007,0.1,0
115,2.45395,0.02007,1.0,54
116,2.45395,0.02007,1.0,54
